time,dangjin_floating,dangjin_warehouse,dangjin,ulsan_not_used,ulsan
2015-01-03 2:00,0,0,0,nan,
2015-01-03 3:00,0,0,0,nan,
2015-01-03 4:00,0,0,0,nan,
2015-01-03 5:00,0,0,0,nan,
2015-01-03 6:00,0,0,0,nan,
2015-01-03 7:00,0,0,0,nan,
2015-01-03 8:00,0,0,0,nan,
2015-01-03 9:00,27,17,12,nan,
2015-01-03 10:00,118,82,99,nan,
2015-01-03 11:00,308,251,305,nan,
2015-01-03 12:00,438,394,460,nan,
2015-01-03 13:00,462,429,497,nan,
2015-01-03 14:00,377,285,320,nan,
2015-01-03 15:00,266,202,244,nan,
2015-01-03 16:00,221,178,220,nan,
2015-01-03 17:00,52,42,32,nan,
2015-01-03 18:00,6,1,0,nan,
2015-01-03 19:00,0,0,0,nan,
2015-01-03 20:00,0,0,0,nan,
2015-01-03 21:00,0,0,0,nan,
2015-01-03 22:00,0,0,0,nan,
2015-01-03 23:00,0,0,0,nan,
2015-01-04 0:00,0,0,0,nan,
2015-01-04 1:00,0,0,0,nan,
2015-01-04 2:00,0,0,0,nan,
2015-01-04 3:00,0,0,0,nan,
2015-01-04 4:00,0,0,0,nan,
2015-01-04 5:00,0,0,0,nan,
2015-01-04 6:00,0,0,0,nan,
2015-01-04 7:00,0,0,0,nan,
2015-01-04 8:00,0,0,0,nan,
2015-01-04 9:00,18,11,5,nan,
2015-01-04 10:00,88,63,81,nan,
2015-01-04 11:00,299,237,293,nan,
2015-01-04 12:00,347,268,296,nan,
2015-01-04 13:00,276,209,280,nan,
2015-01-04 14:00,455,360,421,nan,
2015-01-04 15:00,392,285,354,nan,
2015-01-04 16:00,199,157,193,nan,
2015-01-04 17:00,60,52,41,nan,
2015-01-04 18:00,4,1,0,nan,
2015-01-04 19:00,0,0,0,nan,
2015-01-04 20:00,0,0,0,nan,
2015-01-04 21:00,0,0,0,nan,
2015-01-04 22:00,0,0,0,nan,
2015-01-04 23:00,0,0,0,nan,
2015-01-05 0:00,0,0,0,nan,
2015-01-05 1:00,0,0,0,nan,
2015-01-05 2:00,0,0,0,nan,
2015-01-05 3:00,0,0,0,nan,
2015-01-05 4:00,0,0,0,nan,
2015-01-05 5:00,0,0,0,nan,
2015-01-05 6:00,0,0,0,nan,
2015-01-05 7:00,0,0,0,nan,
2015-01-05 8:00,0,0,0,nan,
2015-01-05 9:00,24,14,20,nan,
2015-01-05 10:00,152,105,145,nan,
2015-01-05 11:00,283,219,264,nan,
2015-01-05 12:00,313,229,258,nan,
2015-01-05 13:00,278,203,229,nan,
2015-01-05 14:00,324,230,257,nan,
2015-01-05 15:00,229,161,188,nan,
2015-01-05 16:00,178,116,133,nan,
2015-01-05 17:00,28,13,8,nan,
2015-01-05 18:00,0,0,0,nan,
2015-01-05 19:00,0,0,0,nan,
2015-01-05 20:00,0,0,0,nan,
2015-01-05 21:00,0,0,0,nan,
2015-01-05 22:00,0,0,0,nan,
2015-01-05 23:00,0,0,0,nan,
2015-01-06 0:00,0,0,0,nan,
2015-01-06 1:00,0,0,0,nan,
2015-01-06 2:00,0,0,0,nan,
2015-01-06 3:00,0,0,0,nan,
2015-01-06 4:00,0,0,0,nan,
2015-01-06 5:00,0,0,0,nan,
2015-01-06 6:00,0,0,0,nan,
2015-01-06 7:00,0,0,0,nan,
2015-01-06 8:00,0,0,0,nan,
2015-01-06 9:00,65,34,60,nan,
2015-01-06 10:00,252,163,253,nan,
2015-01-06 11:00,400,333,404,nan,
2015-01-06 12:00,516,447,523,nan,
2015-01-06 13:00,551,381,590,nan,
2015-01-06 14:00,615,459,609,nan,
2015-01-06 15:00,594,439,564,nan,
2015-01-06 16:00,293,297,365,nan,
2015-01-06 17:00,51,122,64,nan,
2015-01-06 18:00,4,3,1,nan,
2015-01-06 19:00,0,0,0,nan,
2015-01-06 20:00,0,0,0,nan,
2015-01-06 21:00,0,0,0,nan,
2015-01-06 22:00,0,0,0,nan,
2015-01-06 23:00,0,0,0,nan,
2015-01-07 0:00,0,0,0,nan,
2015-01-07 1:00,0,0,0,nan,
2015-01-07 2:00,0,0,0,nan,
2015-01-07 3:00,0,0,0,nan,
2015-01-07 4:00,0,0,0,nan,
2015-01-07 5:00,0,0,0,nan,
2015-01-07 6:00,0,0,0,nan,
2015-01-07 7:00,0,0,0,nan,
2015-01-07 8:00,0,0,0,nan,
2015-01-07 9:00,72,33,67,nan,
2015-01-07 10:00,253,163,261,nan,
2015-01-07 11:00,384,321,413,nan,
2015-01-07 12:00,492,430,517,nan,
2015-01-07 13:00,537,479,580,nan,
2015-01-07 14:00,594,487,586,nan,
2015-01-07 15:00,569,427,539,nan,
2015-01-07 16:00,291,269,348,nan,
2015-01-07 17:00,74,108,73,nan,
2015-01-07 18:00,11,5,5,nan,
2015-01-07 19:00,0,0,0,nan,
2015-01-07 20:00,0,0,0,nan,
2015-01-07 21:00,0,0,0,nan,
2015-01-07 22:00,0,0,0,nan,
2015-01-07 23:00,0,0,0,nan,
2015-01-08 0:00,0,0,0,nan,
2015-01-08 1:00,0,0,0,nan,
2015-01-08 2:00,0,0,0,nan,
2015-01-08 3:00,0,0,0,nan,
2015-01-08 4:00,0,0,0,nan,
2015-01-08 5:00,0,0,0,nan,
2015-01-08 6:00,0,0,0,nan,
2015-01-08 7:00,0,0,0,nan,
2015-01-08 8:00,0,0,0,nan,
2015-01-08 9:00,69,42,62,nan,
2015-01-08 10:00,206,136,186,nan,
2015-01-08 11:00,413,308,398,nan,
2015-01-08 12:00,495,436,503,nan,
2015-01-08 13:00,510,479,543,nan,
2015-01-08 14:00,577,505,569,nan,
2015-01-08 15:00,554,439,571,nan,
2015-01-08 16:00,292,286,406,nan,
2015-01-08 17:00,56,125,76,nan,
2015-01-08 18:00,8,7,2,nan,
2015-01-08 19:00,0,0,0,nan,
2015-01-08 20:00,0,0,0,nan,
2015-01-08 21:00,0,0,0,nan,
2015-01-08 22:00,0,0,0,nan,
2015-01-08 23:00,0,0,0,nan,
2015-01-09 0:00,0,0,0,nan,
2015-01-09 1:00,0,0,0,nan,
2015-01-09 2:00,0,0,0,nan,
2015-01-09 3:00,0,0,0,nan,
2015-01-09 4:00,0,0,0,nan,
2015-01-09 5:00,0,0,0,nan,
2015-01-09 6:00,0,0,0,nan,
2015-01-09 7:00,0,0,0,nan,
2015-01-09 8:00,0,0,0,nan,
2015-01-09 9:00,4,1,0,nan,
2015-01-09 10:00,46,29,37,nan,
2015-01-09 11:00,97,70,102,nan,
2015-01-09 12:00,187,121,189,nan,
2015-01-09 13:00,198,142,208,nan,
2015-01-09 14:00,247,166,254,nan,
2015-01-09 15:00,379,281,455,nan,
2015-01-09 16:00,252,204,332,nan,
2015-01-09 17:00,81,79,81,nan,
2015-01-09 18:00,8,3,1,nan,
2015-01-09 19:00,0,0,0,nan,
2015-01-09 20:00,0,0,0,nan,
2015-01-09 21:00,0,0,0,nan,
2015-01-09 22:00,0,0,0,nan,
2015-01-09 23:00,0,0,0,nan,
2015-01-10 0:00,0,0,0,nan,
2015-01-10 1:00,0,0,0,nan,
2015-01-10 2:00,0,0,0,nan,
2015-01-10 3:00,0,0,0,nan,
2015-01-10 4:00,0,0,0,nan,
2015-01-10 5:00,0,0,0,nan,
2015-01-10 6:00,0,0,0,nan,
2015-01-10 7:00,0,0,0,nan,
2015-01-10 8:00,0,0,0,nan,
2015-01-10 9:00,36,16,30,nan,
2015-01-10 10:00,195,112,226,nan,
2015-01-10 11:00,367,305,497,nan,
2015-01-10 12:00,444,397,627,nan,
2015-01-10 13:00,506,467,719,nan,
2015-01-10 14:00,553,464,723,nan,
2015-01-10 15:00,534,407,651,nan,
2015-01-10 16:00,284,238,430,nan,
2015-01-10 17:00,59,61,63,nan,
2015-01-10 18:00,6,2,0,nan,
2015-01-10 19:00,0,0,0,nan,
2015-01-10 20:00,0,0,0,nan,
2015-01-10 21:00,0,0,0,nan,
2015-01-10 22:00,0,0,0,nan,
2015-01-10 23:00,0,0,0,nan,
2015-01-11 0:00,0,0,0,nan,
2015-01-11 1:00,0,0,0,nan,
2015-01-11 2:00,0,0,0,nan,
2015-01-11 3:00,0,0,0,nan,
2015-01-11 4:00,0,0,0,nan,
2015-01-11 5:00,0,0,0,nan,
2015-01-11 6:00,0,0,0,nan,
2015-01-11 7:00,0,0,0,nan,
2015-01-11 8:00,0,0,0,nan,
2015-01-11 9:00,49,30,57,nan,
2015-01-11 10:00,218,136,264,nan,
2015-01-11 11:00,366,239,478,nan,
2015-01-11 12:00,492,400,658,nan,
2015-01-11 13:00,522,487,725,nan,
2015-01-11 14:00,562,508,741,nan,
2015-01-11 15:00,547,444,666,nan,
2015-01-11 16:00,299,265,442,nan,
2015-01-11 17:00,62,111,82,nan,
2015-01-11 18:00,8,5,2,nan,
2015-01-11 19:00,0,0,0,nan,
2015-01-11 20:00,0,0,0,nan,
2015-01-11 21:00,0,0,0,nan,
2015-01-11 22:00,0,0,0,nan,
2015-01-11 23:00,0,0,0,nan,
2015-01-12 0:00,0,0,0,nan,
2015-01-12 1:00,0,0,0,nan,
2015-01-12 2:00,0,0,0,nan,
2015-01-12 3:00,0,0,0,nan,
2015-01-12 4:00,0,0,0,nan,
2015-01-12 5:00,0,0,0,nan,
2015-01-12 6:00,0,0,0,nan,
2015-01-12 7:00,0,0,0,nan,
2015-01-12 8:00,0,0,0,nan,
2015-01-12 9:00,68,30,86,nan,
2015-01-12 10:00,247,146,330,nan,
2015-01-12 11:00,388,298,538,nan,
2015-01-12 12:00,481,404,648,nan,
2015-01-12 13:00,503,450,702,nan,
2015-01-12 14:00,536,454,702,nan,
2015-01-12 15:00,532,404,651,nan,
2015-01-12 16:00,319,251,470,nan,
2015-01-12 17:00,77,100,103,nan,
2015-01-12 18:00,10,5,5,nan,
2015-01-12 19:00,0,0,0,nan,
2015-01-12 20:00,0,0,0,nan,
2015-01-12 21:00,0,0,0,nan,
2015-01-12 22:00,0,0,0,nan,
2015-01-12 23:00,0,0,0,nan,
2015-01-13 0:00,0,0,0,nan,
2015-01-13 1:00,0,0,0,nan,
2015-01-13 2:00,0,0,0,nan,
2015-01-13 3:00,0,0,0,nan,
2015-01-13 4:00,0,0,0,nan,
2015-01-13 5:00,0,0,0,nan,
2015-01-13 6:00,0,0,0,nan,
2015-01-13 7:00,0,0,0,nan,
2015-01-13 8:00,0,0,0,nan,
2015-01-13 9:00,63,35,67,nan,
2015-01-13 10:00,231,144,275,nan,
2015-01-13 11:00,292,202,322,nan,
2015-01-13 12:00,320,238,377,nan,
2015-01-13 13:00,445,364,588,nan,
2015-01-13 14:00,363,254,388,nan,
2015-01-13 15:00,278,187,288,nan,
2015-01-13 16:00,261,173,303,nan,
2015-01-13 17:00,77,48,71,nan,
2015-01-13 18:00,8,2,0,nan,
2015-01-13 19:00,0,0,0,nan,
2015-01-13 20:00,0,0,0,nan,
2015-01-13 21:00,0,0,0,nan,
2015-01-13 22:00,0,0,0,nan,
2015-01-13 23:00,0,0,0,nan,
2015-01-14 0:00,0,0,0,nan,
2015-01-14 1:00,0,0,0,nan,
2015-01-14 2:00,0,0,0,nan,
2015-01-14 3:00,0,0,0,nan,
2015-01-14 4:00,0,0,0,nan,
2015-01-14 5:00,0,0,0,nan,
2015-01-14 6:00,0,0,0,nan,
2015-01-14 7:00,0,0,0,nan,
2015-01-14 8:00,0,0,0,nan,
2015-01-14 9:00,9,3,0,nan,
2015-01-14 10:00,39,25,29,nan,
2015-01-14 11:00,61,41,59,nan,
2015-01-14 12:00,108,77,111,nan,
2015-01-14 13:00,185,131,192,nan,
2015-01-14 14:00,103,65,86,nan,
2015-01-14 15:00,51,31,45,nan,
2015-01-14 16:00,35,20,17,nan,
2015-01-14 17:00,16,6,0,nan,
2015-01-14 18:00,1,0,0,nan,
2015-01-14 19:00,0,0,0,nan,
2015-01-14 20:00,0,0,0,nan,
2015-01-14 21:00,0,0,0,nan,
2015-01-14 22:00,0,0,0,nan,
2015-01-14 23:00,0,0,0,nan,
2015-01-15 0:00,0,0,0,nan,
2015-01-15 1:00,0,0,0,nan,
2015-01-15 2:00,0,0,0,nan,
2015-01-15 3:00,0,0,0,nan,
2015-01-15 4:00,0,0,0,nan,
2015-01-15 5:00,0,0,0,nan,
2015-01-15 6:00,0,0,0,nan,
2015-01-15 7:00,0,0,0,nan,
2015-01-15 8:00,0,0,0,nan,
2015-01-15 9:00,31,18,18,nan,
2015-01-15 10:00,106,73,120,nan,
2015-01-15 11:00,258,180,269,nan,
2015-01-15 12:00,351,285,467,nan,
2015-01-15 13:00,482,404,641,nan,
2015-01-15 14:00,498,403,645,nan,
2015-01-15 15:00,473,360,572,nan,
2015-01-15 16:00,282,217,395,nan,
2015-01-15 17:00,73,88,83,nan,
2015-01-15 18:00,10,5,3,nan,
2015-01-15 19:00,0,0,0,nan,
2015-01-15 20:00,0,0,0,nan,
2015-01-15 21:00,0,0,0,nan,
2015-01-15 22:00,0,0,0,nan,
2015-01-15 23:00,0,0,0,nan,
2015-01-16 0:00,0,0,0,nan,
2015-01-16 1:00,0,0,0,nan,
2015-01-16 2:00,0,0,0,nan,
2015-01-16 3:00,0,0,0,nan,
2015-01-16 4:00,0,0,0,nan,
2015-01-16 5:00,0,0,0,nan,
2015-01-16 6:00,0,0,0,nan,
2015-01-16 7:00,0,0,0,nan,
2015-01-16 8:00,0,0,0,nan,
2015-01-16 9:00,0,0,0,nan,
2015-01-16 10:00,3,1,0,nan,
2015-01-16 11:00,48,34,42,nan,
2015-01-16 12:00,285,217,329,nan,
2015-01-16 13:00,242,156,221,nan,
2015-01-16 14:00,36,15,13,nan,
2015-01-16 15:00,77,38,74,nan,
2015-01-16 16:00,116,57,93,nan,
2015-01-16 17:00,27,9,13,nan,
2015-01-16 18:00,4,0,0,nan,
2015-01-16 19:00,0,0,0,nan,
2015-01-16 20:00,0,0,0,nan,
2015-01-16 21:00,0,0,0,nan,
2015-01-16 22:00,0,0,0,nan,
2015-01-16 23:00,0,0,0,nan,
2015-01-17 0:00,0,0,0,nan,
2015-01-17 1:00,0,0,0,nan,
2015-01-17 2:00,0,0,0,nan,
2015-01-17 3:00,0,0,0,nan,
2015-01-17 4:00,0,0,0,nan,
2015-01-17 5:00,0,0,0,nan,
2015-01-17 6:00,0,0,0,nan,
2015-01-17 7:00,0,0,0,nan,
2015-01-17 8:00,0,0,0,nan,
2015-01-17 9:00,85,37,95,nan,
2015-01-17 10:00,275,165,334,nan,
2015-01-17 11:00,430,285,549,nan,
2015-01-17 12:00,540,430,699,nan,
2015-01-17 13:00,571,480,774,nan,
2015-01-17 14:00,570,509,760,nan,
2015-01-17 15:00,579,471,707,nan,
2015-01-17 16:00,385,324,563,nan,
2015-01-17 17:00,64,146,109,nan,
2015-01-17 18:00,11,12,9,nan,
2015-01-17 19:00,0,0,0,nan,
2015-01-17 20:00,0,0,0,nan,
2015-01-17 21:00,0,0,0,nan,
2015-01-17 22:00,0,0,0,nan,
2015-01-17 23:00,0,0,0,nan,
2015-01-18 0:00,0,0,0,nan,
2015-01-18 1:00,0,0,0,nan,
2015-01-18 2:00,0,0,0,nan,
2015-01-18 3:00,0,0,0,nan,
2015-01-18 4:00,0,0,0,nan,
2015-01-18 5:00,0,0,0,nan,
2015-01-18 6:00,0,0,0,nan,
2015-01-18 7:00,0,0,0,nan,
2015-01-18 8:00,0,0,0,nan,
2015-01-18 9:00,49,30,47,nan,
2015-01-18 10:00,182,121,208,nan,
2015-01-18 11:00,245,157,267,nan,
2015-01-18 12:00,339,233,367,nan,
2015-01-18 13:00,156,107,161,nan,
2015-01-18 14:00,333,255,406,nan,
2015-01-18 15:00,170,103,150,nan,
2015-01-18 16:00,106,66,106,nan,
2015-01-18 17:00,36,16,10,nan,
2015-01-18 18:00,1,0,0,nan,
2015-01-18 19:00,0,0,0,nan,
2015-01-18 20:00,0,0,0,nan,
2015-01-18 21:00,0,0,0,nan,
2015-01-18 22:00,0,0,0,nan,
2015-01-18 23:00,0,0,0,nan,
2015-01-19 0:00,0,0,0,nan,
2015-01-19 1:00,0,0,0,nan,
2015-01-19 2:00,0,0,0,nan,
2015-01-19 3:00,0,0,0,nan,
2015-01-19 4:00,0,0,0,nan,
2015-01-19 5:00,0,0,0,nan,
2015-01-19 6:00,0,0,0,nan,
2015-01-19 7:00,0,0,0,nan,
2015-01-19 8:00,0,0,0,nan,
2015-01-19 9:00,23,15,17,nan,
2015-01-19 10:00,172,106,180,nan,
2015-01-19 11:00,344,213,381,nan,
2015-01-19 12:00,485,364,575,nan,
2015-01-19 13:00,493,343,571,nan,
2015-01-19 14:00,296,157,319,nan,
2015-01-19 15:00,434,313,525,nan,
2015-01-19 16:00,316,185,333,nan,
2015-01-19 17:00,92,95,111,nan,
2015-01-19 18:00,9,2,1,nan,
2015-01-19 19:00,0,0,0,nan,
2015-01-19 20:00,0,0,0,nan,
2015-01-19 21:00,0,0,0,nan,
2015-01-19 22:00,0,0,0,nan,
2015-01-19 23:00,0,0,0,nan,
2015-01-20 0:00,0,0,0,nan,
2015-01-20 1:00,0,0,0,nan,
2015-01-20 2:00,0,0,0,nan,
2015-01-20 3:00,0,0,0,nan,
2015-01-20 4:00,0,0,0,nan,
2015-01-20 5:00,0,0,0,nan,
2015-01-20 6:00,0,0,0,nan,
2015-01-20 7:00,0,0,0,nan,
2015-01-20 8:00,0,0,0,nan,
2015-01-20 9:00,96,46,101,nan,
2015-01-20 10:00,305,150,340,nan,
2015-01-20 11:00,451,292,533,nan,
2015-01-20 12:00,576,425,702,nan,
2015-01-20 13:00,514,404,645,nan,
2015-01-20 14:00,524,423,664,nan,
2015-01-20 15:00,536,405,638,nan,
2015-01-20 16:00,324,224,396,nan,
2015-01-20 17:00,116,103,123,nan,
2015-01-20 18:00,9,2,0,nan,
2015-01-20 19:00,0,0,0,nan,
2015-01-20 20:00,0,0,0,nan,
2015-01-20 21:00,0,0,0,nan,
2015-01-20 22:00,0,0,0,nan,
2015-01-20 23:00,0,0,0,nan,
2015-01-21 0:00,0,0,0,nan,
2015-01-21 1:00,0,0,0,nan,
2015-01-21 2:00,0,0,0,nan,
2015-01-21 3:00,0,0,0,nan,
2015-01-21 4:00,0,0,0,nan,
2015-01-21 5:00,0,0,0,nan,
2015-01-21 6:00,0,0,0,nan,
2015-01-21 7:00,0,0,0,nan,
2015-01-21 8:00,0,0,0,nan,
2015-01-21 9:00,25,16,21,nan,
2015-01-21 10:00,109,75,112,nan,
2015-01-21 11:00,151,104,151,nan,
2015-01-21 12:00,214,153,227,nan,
2015-01-21 13:00,269,179,258,nan,
2015-01-21 14:00,116,76,102,nan,
2015-01-21 15:00,107,71,101,nan,
2015-01-21 16:00,55,32,39,nan,
2015-01-21 17:00,10,2,0,nan,
2015-01-21 18:00,1,0,0,nan,
2015-01-21 19:00,0,0,0,nan,
2015-01-21 20:00,0,0,0,nan,
2015-01-21 21:00,0,0,0,nan,
2015-01-21 22:00,0,0,0,nan,
2015-01-21 23:00,0,0,0,nan,
2015-01-22 0:00,0,0,0,nan,
2015-01-22 1:00,0,0,0,nan,
2015-01-22 2:00,0,0,0,nan,
2015-01-22 3:00,0,0,0,nan,
2015-01-22 4:00,0,0,0,nan,
2015-01-22 5:00,0,0,0,nan,
2015-01-22 6:00,0,0,0,nan,
2015-01-22 7:00,0,0,0,nan,
2015-01-22 8:00,0,0,0,nan,
2015-01-22 9:00,26,19,20,nan,
2015-01-22 10:00,204,132,223,nan,
2015-01-22 11:00,373,259,414,nan,
2015-01-22 12:00,472,363,465,nan,
2015-01-22 13:00,514,401,564,nan,
2015-01-22 14:00,542,374,663,nan,
2015-01-22 15:00,522,373,616,nan,
2015-01-22 16:00,369,275,469,nan,
2015-01-22 17:00,110,124,144,nan,
2015-01-22 18:00,19,13,13,nan,
2015-01-22 19:00,0,0,0,nan,
2015-01-22 20:00,0,0,0,nan,
2015-01-22 21:00,0,0,0,nan,
2015-01-22 22:00,0,0,0,nan,
2015-01-22 23:00,0,0,0,nan,
2015-01-23 0:00,0,0,0,nan,
2015-01-23 1:00,0,0,0,nan,
2015-01-23 2:00,0,0,0,nan,
2015-01-23 3:00,0,0,0,nan,
2015-01-23 4:00,0,0,0,nan,
2015-01-23 5:00,0,0,0,nan,
2015-01-23 6:00,0,0,0,nan,
2015-01-23 7:00,0,0,0,nan,
2015-01-23 8:00,0,0,0,nan,
2015-01-23 9:00,47,34,46,nan,
2015-01-23 10:00,152,117,158,nan,
2015-01-23 11:00,315,238,374,nan,
2015-01-23 12:00,468,391,447,nan,
2015-01-23 13:00,351,259,339,nan,
2015-01-23 14:00,519,468,699,nan,
2015-01-23 15:00,559,450,695,nan,
2015-01-23 16:00,402,317,538,nan,
2015-01-23 17:00,97,123,143,nan,
2015-01-23 18:00,15,14,7,nan,
2015-01-23 19:00,0,0,0,nan,
2015-01-23 20:00,0,0,0,nan,
2015-01-23 21:00,0,0,0,nan,
2015-01-23 22:00,0,0,0,nan,
2015-01-23 23:00,0,0,0,nan,
2015-01-24 0:00,0,0,0,nan,
2015-01-24 1:00,0,0,0,nan,
2015-01-24 2:00,0,0,0,nan,
2015-01-24 3:00,0,0,0,nan,
2015-01-24 4:00,0,0,0,nan,
2015-01-24 5:00,0,0,0,nan,
2015-01-24 6:00,0,0,0,nan,
2015-01-24 7:00,0,0,0,nan,
2015-01-24 8:00,0,0,0,nan,
2015-01-24 9:00,16,9,4,nan,
2015-01-24 10:00,95,64,100,nan,
2015-01-24 11:00,190,128,198,nan,
2015-01-24 12:00,386,293,466,nan,
2015-01-24 13:00,235,176,248,nan,
2015-01-24 14:00,297,216,326,nan,
2015-01-24 15:00,477,367,559,nan,
2015-01-24 16:00,271,191,332,nan,
2015-01-24 17:00,106,91,125,nan,
2015-01-24 18:00,17,9,11,nan,
2015-01-24 19:00,0,0,0,nan,
2015-01-24 20:00,0,0,0,nan,
2015-01-24 21:00,0,0,0,nan,
2015-01-24 22:00,0,0,0,nan,
2015-01-24 23:00,0,0,0,nan,
2015-01-25 0:00,0,0,0,nan,
2015-01-25 1:00,0,0,0,nan,
2015-01-25 2:00,0,0,0,nan,
2015-01-25 3:00,0,0,0,nan,
2015-01-25 4:00,0,0,0,nan,
2015-01-25 5:00,0,0,0,nan,
2015-01-25 6:00,0,0,0,nan,
2015-01-25 7:00,0,0,0,nan,
2015-01-25 8:00,0,0,0,nan,
2015-01-25 9:00,5,0,0,nan,
2015-01-25 10:00,33,21,17,nan,
2015-01-25 11:00,80,52,77,nan,
2015-01-25 12:00,72,46,62,nan,
2015-01-25 13:00,47,29,40,nan,
2015-01-25 14:00,27,14,2,nan,
2015-01-25 15:00,30,16,8,nan,
2015-01-25 16:00,27,13,2,nan,
2015-01-25 17:00,12,4,0,nan,
2015-01-25 18:00,0,0,0,nan,
2015-01-25 19:00,0,0,0,nan,
2015-01-25 20:00,0,0,0,nan,
2015-01-25 21:00,0,0,0,nan,
2015-01-25 22:00,0,0,0,nan,
2015-01-25 23:00,0,0,0,nan,
2015-01-26 0:00,0,0,0,nan,
2015-01-26 1:00,0,0,0,nan,
2015-01-26 2:00,0,0,0,nan,
2015-01-26 3:00,0,0,0,nan,
2015-01-26 4:00,0,0,0,nan,
2015-01-26 5:00,0,0,0,nan,
2015-01-26 6:00,0,0,0,nan,
2015-01-26 7:00,0,0,0,nan,
2015-01-26 8:00,0,0,0,nan,
2015-01-26 9:00,50,1,0,nan,
2015-01-26 10:00,330,20,5,nan,
2015-01-26 11:00,800,51,25,nan,
2015-01-26 12:00,720,99,89,nan,
2015-01-26 13:00,470,64,89,nan,
2015-01-26 14:00,270,61,83,nan,
2015-01-26 15:00,300,181,513,nan,
2015-01-26 16:00,270,253,459,nan,
2015-01-26 17:00,120,105,172,nan,
2015-01-26 18:00,0,9,15,nan,
2015-01-26 19:00,0,0,0,nan,
2015-01-26 20:00,0,0,0,nan,
2015-01-26 21:00,0,0,0,nan,
2015-01-26 22:00,0,0,0,nan,
2015-01-26 23:00,0,0,0,nan,
2015-01-27 0:00,0,0,0,nan,
2015-01-27 1:00,0,0,0,nan,
2015-01-27 2:00,0,0,0,nan,
2015-01-27 3:00,0,0,0,nan,
2015-01-27 4:00,0,0,0,nan,
2015-01-27 5:00,0,0,0,nan,
2015-01-27 6:00,0,0,0,nan,
2015-01-27 7:00,0,0,0,nan,
2015-01-27 8:00,1,0,0,nan,
2015-01-27 9:00,98,48,95,nan,
2015-01-27 10:00,279,179,228,nan,
2015-01-27 11:00,480,348,425,nan,
2015-01-27 12:00,633,335,672,nan,
2015-01-27 13:00,666,367,822,nan,
2015-01-27 14:00,660,448,839,nan,
2015-01-27 15:00,627,454,785,nan,
2015-01-27 16:00,492,395,654,nan,
2015-01-27 17:00,150,195,250,nan,
2015-01-27 18:00,26,35,33,nan,
2015-01-27 19:00,0,0,0,nan,
2015-01-27 20:00,0,0,0,nan,
2015-01-27 21:00,0,0,0,nan,
2015-01-27 22:00,0,0,0,nan,
2015-01-27 23:00,0,0,0,nan,
2015-01-28 0:00,0,0,0,nan,
2015-01-28 1:00,0,0,0,nan,
2015-01-28 2:00,0,0,0,nan,
2015-01-28 3:00,0,0,0,nan,
2015-01-28 4:00,0,0,0,nan,
2015-01-28 5:00,0,0,0,nan,
2015-01-28 6:00,0,0,0,nan,
2015-01-28 7:00,0,0,0,nan,
2015-01-28 8:00,0,0,0,nan,
2015-01-28 9:00,36,26,26,nan,
2015-01-28 10:00,180,117,181,nan,
2015-01-28 11:00,468,306,500,nan,
2015-01-28 12:00,555,379,612,nan,
2015-01-28 13:00,651,497,793,nan,
2015-01-28 14:00,612,487,768,nan,
